Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,FlightDate,Distance,LateAircraftDelay,WeatherDelay,day,month,hour,OriginCity,temperature_c,precip_mm,cloud_pct,wind_speed_mps
IAH,PHX,1205,1411,37.0,2025-01-26,1009.0,0.0,0.0,26,1,12,Houston,16.8,2.4,100.0,11.6
ORD,DCA,630,932,88.0,2025-01-26,612.0,0.0,0.0,26,1,6,Chicago,-6.7,0.0,100.0,13.5
LAX,ORD,1315,1933,0.0,2025-01-26,1744.0,0.0,0.0,26,1,13,Los Angeles,10.0,4.0,77.0,10.6
BOS,ORD,1825,2025,90.0,2025-01-26,867.0,73.0,0.0,26,1,18,Boston,0.2,0.0,1.0,16.9
LAX,IAH,1425,1943,-7.0,2025-01-26,1379.0,0.0,0.0,26,1,14,Los Angeles,11.1,0.0,97.0,13.3
DEN,SAN,1910,2040,1.0,2025-01-26,853.0,0.0,0.0,26,1,19,Denver,-5.9,0.0,18.0,4.2
IAH,CLT,1220,1551,0.0,2025-01-26,912.0,0.0,0.0,26,1,12,Houston,16.8,2.4,100.0,11.6
DEN,SDF,945,1426,173.0,2025-01-26,1024.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
DEN,PBI,1002,1551,18.0,2025-01-26,1679.0,0.0,0.0,26,1,10,Denver,-9.4,0.0,100.0,2.9
MIA,IAH,845,1050,45.0,2025-01-26,964.0,0.0,0.0,26,1,8,Miami,16.4,0.0,100.0,5.5
BOS,DEN,700,955,-5.0,2025-01-26,1754.0,0.0,0.0,26,1,7,Boston,-3.1,0.0,88.0,14.6
ORD,FLL,1825,2244,177.0,2025-01-26,1182.0,115.0,0.0,26,1,18,Chicago,-1.9,0.0,33.0,9.5
ORD,AUS,1305,1609,-2.0,2025-01-26,977.0,0.0,0.0,26,1,13,Chicago,-5.4,0.0,100.0,7.9
DEN,BNA,750,1128,-7.0,2025-01-26,1014.0,0.0,0.0,26,1,7,Denver,-10.5,0.0,100.0,5.1
DEN,LAS,945,1051,17.0,2025-01-26,628.0,17.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
IAH,SLC,2012,2242,50.0,2025-01-26,1195.0,27.0,0.0,26,1,20,Houston,17.2,0.4,100.0,1.5
SEA,SFO,1525,1744,123.0,2025-01-26,679.0,92.0,0.0,26,1,15,Seattle,2.7,0.0,0.0,0.6
ORD,BOS,1400,1723,115.0,2025-01-26,867.0,0.0,0.0,26,1,14,Chicago,-4.0,0.0,99.0,7.0
LAX,SFO,1915,2049,29.0,2025-01-26,337.0,0.0,0.0,26,1,19,Los Angeles,12.0,0.5,93.0,5.9
DEN,COS,1131,1227,33.0,2025-01-26,73.0,13.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
EWR,SNA,1320,1636,62.0,2025-01-26,2434.0,0.0,0.0,26,1,13,New York,3.7,0.0,99.0,15.9
DEN,RDU,940,1458,18.0,2025-01-26,1436.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
DEN,MSP,2040,2343,8.0,2025-01-26,680.0,0.0,0.0,26,1,20,Denver,-8.2,0.0,1.0,4.8
DEN,ONT,1115,1241,38.0,2025-01-26,819.0,11.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
DEN,LAX,945,1124,3.0,2025-01-26,862.0,0.0,0.0,26,1,9,Denver,-9.3,0.0,100.0,2.4
EWR,DEN,1216,1437,17.0,2025-01-26,1605.0,12.0,0.0,26,1,12,New York,3.1,0.0,96.0,12.9
MIA,EWR,800,1109,31.0,2025-01-26,1085.0,0.0,0.0,26,1,8,Miami,16.4,0.0,100.0,5.5
ORD,IAH,850,1153,-1.0,2025-01-26,925.0,0.0,0.0,26,1,8,Chicago,-8.2,0.0,100.0,12.1
DEN,EWR,1150,1733,9.0,2025-01-26,1605.0,0.0,0.0,26,1,11,Denver,-9.5,0.0,100.0,2.0
IAH,BWI,1215,1620,4.0,2025-01-26,1235.0,0.0,0.0,26,1,12,Houston,16.8,2.4,100.0,11.6
EWR,ORD,1843,2025,-3.0,2025-01-26,719.0,0.0,0.0,26,1,18,New York,0.5,0.0,78.0,6.8
IAH,DEN,1450,1632,61.0,2025-01-26,862.0,44.0,0.0,26,1,14,Houston,20.1,0.8,100.0,9.1
DEN,LAS,1725,1831,-4.0,2025-01-26,628.0,0.0,0.0,26,1,17,Denver,-6.1,0.1,88.0,2.7
